accepted_name,occurrence_no,class,collection_no,cc,max_ma,min_ma,lat,lng,paleolat,paleolng,group,stage,MAT_degC,GSP_cm,MAP_cm,s_temp,s_precip
Sinosaurus triassicus,1092252,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Sinosaurus triassicus,1092252,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Dinosauromorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Yunnanosaurus huangi,1092253,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Sauropodomorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Yunnanosaurus huangi,1092253,Saurischia,49773,CN,199.3,190.8,25.173765,102.097412,37.38,122.21,Sauropodomorpha,Sinemurian,10.85016,32.52989,1.638823,54.921910000000004,1.543628
Yunnanosaurus huangi,1092254,Saurischia,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Yunnanosaurus huangi,1092254,Saurischia,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Yunnanosaurus huangi,1092254,Saurischia,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Yunnanosaurus huangi,1092254,Saurischia,49503,CN,201.3,199.3,25.175985,102.090401,37.81,120.18,Sauropodomorpha,Hettangian,12.59045,50.94923,2.152691,62.44298,6.0857849999999996
Yunnanosaurus huangi,1092255,Saurischia,47081,CN,199.3,190.8,25.683331,104.083298,38.13,124.36,Sauropodomorpha,Sinemurian,11.93262,72.78206,3.314892,47.34375,5.752542999999999
Yunnanosaurus huangi,1092255,Saurischia,47081,CN,199.3,190.8,25.683331,104.083298,38.13,124.36,Sauropodomorpha,Sinemurian,11.93262,72.78206,3.314892,47.34375,5.752542999999999
