taxon_name,collection_no,strat_unit,country,stage,MAT_degC,MAP_cm,s_temp,s_precip
Lepidus_praecisio,196651,lowermost Dockum Group,USA,Norian,-0.7111816,2.627414,41.37926,8.239413
Ledumahadi_mafube,196716,Elliot Formation (Upper),South Africa,Hettangian,19.8288,0.4755427,47.316189,1.5103369999999998
Ledumahadi_mafube,196716,Elliot Formation (Upper),South Africa,Hettangian,19.8288,0.4755427,47.316189,1.5103369999999998
Dromomeron_romeri,198618,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,34.07892,0.7038454,3.77664,4.87227172
Lewisuchus_admixtus,205839,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Lewisuchus_admixtus,205839,Chañares Formation (Massetognathus–Chanaresuchus zone),Argentina,Carnian,22.08206,1.042526,44.968814,3.8588599
Dromomeron_romeri,92089,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Dromomeron_romeri,92089,"Chinle Formation (Petrified Forest Member), Cooper Canyon Formation, Chinle Formation (Owl Creek Member)",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,92089,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,92089,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206266,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206266,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206270,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206270,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206269,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206269,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206267,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Kwanasaurus_williamparkeri,206267,"Chinle Formation (""red siltstone member"")",USA,Norian,36.00235,0.6211526,6.384309999999999,3.695439117
Dilophosaurus_wetherilli,214347,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Dilophosaurus_wetherilli,214347,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Dilophosaurus_wetherilli,98597,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Dilophosaurus_wetherilli,214348,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,35.8689,0.6452784,8.780939999999998,4.228167145
Dilophosaurus_wetherilli,214349,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,33.21588,0.6066519,11.957430000000002,3.47193504
Dilophosaurus_wetherilli,214349,Kayenta Formation (Silty Facies Member and Glen Canyon Group),USA,Sinemurian,33.21588,0.6066519,11.957430000000002,3.47193504
